filename,iati-activity/iati-identifier[1],iati-activity/recipient-country,iati-activity/recipient-country@code,iati-activity/recipient-country@percentage
drc-activities,DK-CVR-20699310-DF20381,,,
drc-activities,DK-CVR-20699310-DF18695,,UG,100
drc-activities,DK-CVR-20699310-DF19726,,,
drc-activities,DK-CVR-20699310-DK19938,,,
drc-activities,DK-CVR-20699310-DK2112467,,,
drc-activities,DK-CVR-20699310-DF2055,,UA,100
drc-activities,DK-CVR-20699310-DF21849,,,
drc-activities,DK-CVR-20699310-DU19527,,BF,25
drc-activities,DK-CVR-20699310-DU19527,,ML,50
drc-activities,DK-CVR-20699310-DU19527,,NE,25
drc-activities,DK-CVR-20699310-DU20658,,YE,100
drc-activities,DK-CVR-20699310-DU191129,,AF,30
drc-activities,DK-CVR-20699310-DU191129,,DK,30
drc-activities,DK-CVR-20699310-DU191129,,DE,20
drc-activities,DK-CVR-20699310-DU191129,,NL,20
drc-activities,DK-CVR-20699310-DF20376,,YE,100
drc-activities,DK-CVR-20699310-DK19947,,SS,100
drc-activities,DK-CVR-20699310-DF221251,,ET,100
drc-activities,DK-CVR-20699310-DF211215,,TZ,100
drc-activities,DK-CVR-20699310-DU22821,,NG,100
drc-activities,DK-CVR-20699310-DF21532,,IQ,100
drc-activities,DK-CVR-20699310-DRCRO04-19,,,
drc-activities,DK-CVR-20699310-GA22,,,
drc-activities,DK-CVR-20699310-DRCCOL19,,CO,100
drc-activities,DK-CVR-20699310-DRCRO02-19,,,
drc-activities,DK-CVR-20699310-DRCRO03-19,,,
drc-activities,DK-CVR-20699310-DRCRO06-19,,,
drc-activities,DK-CVR-20699310-DRCRO01-19,,,
drc-activities,DK-CVR-20699310-DRCRO05-19,,,
drc-activities,DK-CVR-20699310-DF212197,,,
drc-activities,DK-CVR-20699310-DF201067,,MM,100
drc-activities,DK-CVR-20699310-DK19953,,AF,0.67
drc-activities,DK-CVR-20699310-DK19953,,BF,3.54
drc-activities,DK-CVR-20699310-DK19953,,CM,0.46
drc-activities,DK-CVR-20699310-DK19953,,DK,94.32
drc-activities,DK-CVR-20699310-DK19953,,SS,1.01
drc-activities,DK-CVR-20699310-DK1925,,AF,43.21
drc-activities,DK-CVR-20699310-DK1925,,MM,56.79
drc-activities,DK-CVR-20699310-DK19524,,AF,35.22
drc-activities,DK-CVR-20699310-DK19524,,MM,62.97
drc-activities,DK-CVR-20699310-DK19524,,DK,1.81
drc-activities,DK-CVR-20699310-DK19615,,YE,100
drc-activities,DK-CVR-20699310-DK19649,,IQ,100
drc-activities,DK-CVR-20699310-DK19950,,,
drc-activities,DK-CVR-20699310-DK19652,,TR,100
drc-activities,DK-CVR-20699310-DK19653,,JO,100
drc-activities,DK-CVR-20699310-DK19713,,CM,20
drc-activities,DK-CVR-20699310-DK19713,,CF,80
drc-activities,DK-CVR-20699310-DK19715,,CM,100
drc-activities,DK-CVR-20699310-DK19720,,DK,100
drc-activities,DK-CVR-20699310-DK19726,,BD,97.32
drc-activities,DK-CVR-20699310-DK19726,,MM,2.68
drc-activities,DK-CVR-20699310-DK19741,,BF,100
drc-activities,DK-CVR-20699310-DK19744,,NE,100
drc-activities,DK-CVR-20699310-DK19843,,MM,100
drc-activities,DK-CVR-20699310-DK19888,,SN,100
drc-activities,DK-CVR-20699310-DK19903,,KE,100
drc-activities,DK-CVR-20699310-DK19971,,DJ,100
drc-activities,DK-CVR-20699310-DK19973,,KE,100
drc-activities,DK-CVR-20699310-DK19974,,ET,99.6
drc-activities,DK-CVR-20699310-DK19974,,KE,0.4
drc-activities,DK-CVR-20699310-DK19976,,UG,100
drc-activities,DK-CVR-20699310-DK19977,,CD,100
drc-activities,DK-CVR-20699310-DK191007,,TN,6.26
drc-activities,DK-CVR-20699310-DK191007,,SD,93.74
drc-activities,DK-CVR-20699310-DK19742,,ML,100
drc-activities,DK-CVR-20699310-DK191239,,BI,27.3
drc-activities,DK-CVR-20699310-DK191239,,DK,61.37
drc-activities,DK-CVR-20699310-DK191239,,KE,4.64
drc-activities,DK-CVR-20699310-DK191239,,JO,3.28
drc-activities,DK-CVR-20699310-DK191239,,SN,3.41
drc-activities,DK-CVR-20699310-DK191790,,DK,100
drc-activities,DK-CVR-20699310-DK19479,,KE,100
drc-activities,DK-CVR-20699310-DK201680,,CF,100
drc-activities,DK-CVR-20699310-DK201681,,CM,100
drc-activities,DK-CVR-20699310-DK201683,,BF,100
drc-activities,DK-CVR-20699310-DK201685,,NE,100
drc-activities,DK-CVR-20699310-DK201687,,BD,97.38
drc-activities,DK-CVR-20699310-DK201687,,MM,2.62
drc-activities,DK-CVR-20699310-DK201688,,MM,98.65
drc-activities,DK-CVR-20699310-DK201688,,MM,1.35
drc-activities,DK-CVR-20699310-DK201689,,AF,98.59
drc-activities,DK-CVR-20699310-DK201689,,MM,1.41
drc-activities,DK-CVR-20699310-DK201690,,AF,35.42
drc-activities,DK-CVR-20699310-DK201690,,MM,64.58
drc-activities,DK-CVR-20699310-DK1940,,KE,0.39
drc-activities,DK-CVR-20699310-DK1940,,SS,99.61
drc-activities,DK-CVR-20699310-DK201692,,SS,100
drc-activities,DK-CVR-20699310-DK19972,,ET,100
drc-activities,DK-CVR-20699310-DK201686,,SN,100
drc-activities,DK-CVR-20699310-DU252394,,,
drc-activities,DK-CVR-20699310-DU252398,,AF,100
drc-activities,DK-CVR-20699310-DU252397,,LY,100
drc-activities,DK-CVR-20699310-DU252399,,SS,100
drc-activities,DK-CVR-20699310-DK201695,,KE,100
drc-activities,DK-CVR-20699310-DK201693,,DJ,100
drc-activities,DK-CVR-20699310-DK201698,,ET,100
drc-activities,DK-CVR-20699310-DK201699,,CD,100
drc-activities,DK-CVR-20699310-DK201700,,UG,100
drc-activities,DK-CVR-20699310-DK201701,,KE,100
drc-activities,DK-CVR-20699310-DK201711,,IQ,98.12
drc-activities,DK-CVR-20699310-DK201711,,JO,1.88
drc-activities,DK-CVR-20699310-DK201716,,JO,100
drc-activities,DK-CVR-20699310-DK201717,,LB,97.96
drc-activities,DK-CVR-20699310-DK201717,,JO,2.04
drc-activities,DK-CVR-20699310-DK201719,,JO,100
drc-activities,DK-CVR-20699310-DK201704,,AF,100
drc-activities,DK-CVR-20699310-DK201708,,TR,100
drc-activities,DK-CVR-20699310-DK201720,,TR,100
drc-activities,DK-CVR-20699310-DK201718,,LB,9.05
drc-activities,DK-CVR-20699310-DK201718,,JO,90.95
drc-activities,DK-CVR-20699310-DF212759,,ET,100
drc-activities,DK-CVR-20699310-DK202628,,DK,100
drc-activities,DK-CVR-20699310-DK202691,,CO,1.88
drc-activities,DK-CVR-20699310-DK202691,,DK,91.72
drc-activities,DK-CVR-20699310-DK202691,,KE,
drc-activities,DK-CVR-20699310-DK202691,,UG,6.4
drc-activities,DK-CVR-20699310-DK201710,,JO,0.52
drc-activities,DK-CVR-20699310-DK201710,,YE,99.48
drc-activities,DK-CVR-20699310-DK201707,,DK,89.49
drc-activities,DK-CVR-20699310-DK201707,,SN,10.51
drc-activities,DK-CVR-20699310-DK201702,,CD,7.49
drc-activities,DK-CVR-20699310-DK201702,,KE,79.56
drc-activities,DK-CVR-20699310-DK201702,,SO,2.8
drc-activities,DK-CVR-20699310-DK201702,,UG,10.15
drc-activities,DK-CVR-20699310-DK201706,,DK,94.36
drc-activities,DK-CVR-20699310-DK201706,,SO,5.64
drc-activities,DK-CVR-20699310-DK1926,,AF,87.01
drc-activities,DK-CVR-20699310-DK1926,,DK,4.5
drc-activities,DK-CVR-20699310-DK1926,,MM,8.49
drc-activities,DK-CVR-20699310-DK201691,,TN,3.86
drc-activities,DK-CVR-20699310-DK201691,,SD,96.14
drc-activities,DK-CVR-20699310-DK201832,,DK,97.59
drc-activities,DK-CVR-20699310-DK201832,,JO,2.41
drc-activities,DK-CVR-20699310-DK201684,,ML,100
drc-activities,DK-CVR-20699310-DK201712,,BI,6.37
drc-activities,DK-CVR-20699310-DK201712,,BF,8.13
drc-activities,DK-CVR-20699310-DK201712,,BD,6.03
drc-activities,DK-CVR-20699310-DK201712,,DJ,0.72
drc-activities,DK-CVR-20699310-DK201712,,DK,39.24
drc-activities,DK-CVR-20699310-DK201712,,DZ,7.29
drc-activities,DK-CVR-20699310-DK201712,,IT,1.33
drc-activities,DK-CVR-20699310-DK201712,,JO,1.24
drc-activities,DK-CVR-20699310-DK201712,,KE,2.53
drc-activities,DK-CVR-20699310-DK201712,,JO,10.28
drc-activities,DK-CVR-20699310-DK201712,,SN,15
drc-activities,DK-CVR-20699310-DK201712,,MM,0.19
drc-activities,DK-CVR-20699310-DK201712,,TN,0.36
drc-activities,DK-CVR-20699310-DK201712,,UG,1.29
drc-activities,DK-CVR-20699310-DK201715,,BI,0.36
drc-activities,DK-CVR-20699310-DK201715,,DK,98.25
drc-activities,DK-CVR-20699310-DK201715,,MM,0.79
drc-activities,DK-CVR-20699310-DK201715,,UG,0.6
drc-activities,DK-CVR-20699310-DK201709,,JO,100
drc-activities,DK-CVR-20699310-DK201705,,IQ,96.65
drc-activities,DK-CVR-20699310-DK201705,,JO,3.35
drc-activities,DK-CVR-20699310-DK201696,,KE,0.01
drc-activities,DK-CVR-20699310-DK201696,,SO,99.99
